# color,avg_color,err_avg_color,G_B,G_V,G_J,G_H,G_K,G_B_err,G_V_err,G_J_err,G_H_err,G_K_err
2.500000000000000000e-01,1.015844060740339616e-01,1.500042885869647957e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.129330420712812283e-01,7.789725294900597119e-02,1.015844060740339616e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.779328427868855755e-02,1.505594706120800819e-01,1.500042885869647957e-01
5.000000000000000000e-01,3.842871286916627049e-01,7.111702421883817071e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.166080895654377891e-01,3.420121928804993883e-01,3.842871286916627049e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.672140687452195185e-02,7.782362066187126226e-02,7.111702421883817071e-02
7.500000000000000000e-01,6.386268428465863289e-01,7.248360316178260876e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.999247990070667114e-01,5.864484000384555529e-01,6.386268428465863289e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.575588989715234534e-02,8.600824764690018220e-02,7.248360316178260876e-02
1.000000000000000000e+00,9.035061936113197856e-01,6.896196870795566480e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.856172285998408666e-01,8.461270447700254271e-01,9.035061936113197856e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.616704116322571549e-02,9.236798600702858519e-02,6.896196870795566480e-02
1.250000000000000000e+00,1.140041182270750797e+00,6.940275232310220976e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.416858225533666582e-01,1.075473067663710758e+00,1.140041182270750797e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.348852121942860138e-02,9.183738542813210670e-02,6.940275232310220976e-02
1.500000000000000000e+00,1.372821327276016801e+00,7.073934022036207359e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.920631246165719785e-01,1.295169120926621620e+00,1.372821327276016801e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.584257936769406294e-02,1.008074811996259312e-01,7.073934022036207359e-02
1.750000000000000000e+00,1.614931240483188590e+00,7.180561779912500442e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.147414957209664577e+00,1.521701375592948713e+00,1.614931240483188590e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.251105738038666038e-02,1.205526047954558061e-01,7.180561779912500442e-02
2.000000000000000000e+00,1.861497715504844219e+00,7.073587398313521679e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.285008967691973147e+00,1.718639511975020406e+00,1.861497715504844219e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.876514205988643325e-01,2.625874075457477752e-01,7.073587398313521679e-02
2.250000000000000000e+00,2.105408665002216573e+00,7.071266049897212413e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.399562028717884710e+00,1.839185065080493287e+00,2.105408665002216573e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.151612755689392475e-01,5.125803110487188174e-01,7.071266049897212413e-02
2.500000000000000000e+00,2.352123764613018420e+00,7.139368362075562691e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.569963692045054371e+00,2.056331686716530882e+00,2.352123764613018420e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.384013922796030860e-01,5.661089634095922696e-01,7.139368362075562691e-02
2.750000000000000000e+00,2.612011356013161922e+00,6.993489458761750766e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.795157455778741307e+00,2.360813311168125761e+00,2.612011356013161922e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.699491824896964598e-01,4.710971966727093285e-01,6.993489458761750766e-02
